frame_seq,target_bitrate_kbps,rtt_ms,timestamp_us
0,283,0,4501812437
1,283,0,4501835668
2,283,0,4501867230
3,848,0,4501900265
4,1708,0,4501967484
5,3206,0,4502067149
6,3206,0,4502133755
7,3206,0,4502199456
8,3206,0,4502233607
9,3206,0,4502266830
10,3206,0,4502300167
11,3206,0,4502333871
12,3206,0,4502366647
13,3206,0,4502400659
14,3206,0,4502433772
15,3206,0,4502466517
16,3206,0,4502500596
17,3206,0,4502534409
18,3206,0,4502567382
19,3206,0,4502600993
20,3206,0,4502634221
21,3206,0,4502667445
22,3206,0,4502700519
23,3206,0,4502733540
24,3206,0,4502767514
25,3206,0,4502801045
26,3206,0,4502834085
27,3206,0,4502867129
28,3206,0,4502899915
29,3206,0,4502934069
30,3206,0,4502967875
31,3206,0,4502999937
32,3206,0,4503034084
33,3206,0,4503067414
34,3206,0,4503101087
35,3206,0,4503134592
36,3206,0,4503166387
37,3206,0,4503200597
38,3250,6,4503233846
39,3250,6,4503266894
40,3250,6,4503300975
41,3250,6,4503334311
42,3250,6,4503368021
43,3250,6,4503401426
44,3250,6,4503434235
45,3250,6,4503467267
46,3250,6,4503500941
47,3250,6,4503533820
48,3250,6,4503567010
49,3250,6,4503601703
50,3250,6,4503634070
51,3250,6,4503667528
52,3250,6,4503700417
53,3250,6,4503733346
54,3249,5,4503767662
55,3249,5,4503800470
56,3249,5,4503833741
57,3249,5,4503867379
58,3249,5,4503899821
59,3249,5,4503934349
60,3249,5,4503967348
61,3249,5,4504000536
62,3249,5,4504033957
63,3249,5,4504066676
64,3249,5,4504100755
65,3249,5,4504134297
66,3249,5,4504167153
67,3249,5,4504201199
68,3249,5,4504234124
69,3249,5,4504267458
70,3249,5,4504301160
71,3249,5,4504334364
72,3248,6,4504367352
73,3248,6,4504401257
74,3248,6,4504435160
75,3248,6,4504467824
76,3248,6,4504501468
77,3248,6,4504534318
78,3248,6,4504568727
79,3248,6,4504601936
80,3248,6,4504635077
81,3248,6,4504668404
82,3248,6,4504701236
83,3248,6,4504734863
84,3248,6,4504767247
85,3248,6,4504800578
86,3248,6,4504835356
87,3248,6,4504866726
88,3248,6,4504901973
89,3248,6,4504935187
90,3248,6,4504967090
91,3248,6,4505001581
92,3248,6,4505033662
93,3248,6,4505067771
94,3247,5,4505100958
95,3247,5,4505137391
96,3247,5,4505167538
97,3247,5,4505200887
98,3247,5,4505234341
99,3247,5,4505267405
100,3247,5,4505300792
101,3247,5,4505335086
102,3247,5,4505367897
103,3247,5,4505401153
104,3247,5,4505434834
105,3247,5,4505467168
106,3247,5,4505500349
107,3247,5,4505534161
108,3247,5,4505567865
109,3247,5,4505601484
110,3247,5,4505633971
111,3247,5,4505666751
112,3247,5,4505701125
113,3247,5,4505734382
114,3247,5,4505767229
115,3247,5,4505800266
116,3247,5,4505833400
117,3247,5,4505867463
118,3247,5,4505901084
119,3247,5,4505934234
120,3247,5,4505967188
121,3247,5,4506000255
122,3247,5,4506034634
123,3247,5,4506068464
124,3247,5,4506101070
125,3247,5,4506133978
126,3247,5,4506167646
127,3247,5,4506200926
128,3247,5,4506234487
129,3247,5,4506267852
130,3247,5,4506300912
131,3247,5,4506333939
132,3247,5,4506366538
133,3247,5,4506400876
134,3247,5,4506434555
135,3247,4,4506467099
136,3247,4,4506501280
137,3247,4,4506534607
138,3247,4,4506567612
139,3247,4,4506600981
140,3247,4,4506634412
141,3247,4,4506667617
142,3247,4,4506701133
143,3247,4,4506733179
144,3247,4,4506767373
145,3247,4,4506800517
146,3247,4,4506833477
147,3247,4,4506867834
148,3247,4,4506901015
149,3247,4,4506934434
150,3247,4,4506968568
151,3247,4,4507000468
152,3247,4,4507034701
153,3247,4,4507068715
154,3247,4,4507100302
155,3247,4,4507133969
156,3247,4,4507166729
157,3247,4,4507201016
158,3247,4,4507234305
159,3247,4,4507267205
160,3247,4,4507300498
161,3247,4,4507333916
162,3247,4,4507367058
163,3247,4,4507401089
164,3247,10,4507434995
165,3247,10,4507466633
166,3247,10,4507500669
167,3247,10,4507534492
168,3247,10,4507567240
169,3247,10,4507600285
170,3247,10,4507634570
171,3247,10,4507666451
172,3247,10,4507700520
173,3247,10,4507734871
174,3247,10,4507766984
175,3247,10,4507801417
176,3247,10,4507834046
177,3247,10,4507867430
178,3247,10,4507901171
179,3247,10,4507934894
180,3247,10,4507967333
181,3247,10,4508000332
182,3247,10,4508033534
183,3247,10,4508067076
184,3247,10,4508101384
185,3247,10,4508134076
186,3247,6,4508167574
187,3247,6,4508200393
188,3247,6,4508233983
189,3247,6,4508266769
190,3247,6,4508299780
191,3247,6,4508333437
192,3247,6,4508366112
193,3247,6,4508400389
194,3247,6,4508434083
195,3247,6,4508466558
196,3247,6,4508500331
197,3247,6,4508534091
198,3247,6,4508566515
199,3247,6,4508601230
200,3247,6,4508635238
201,3247,6,4508667408
202,3247,6,4508702359
203,3247,6,4508735219
204,3247,6,4508766721
205,3247,6,4508801473
206,3247,6,4508834496
207,3247,6,4508867445
208,3247,6,4508900625
209,3247,6,4508933829
210,3247,6,4508966941
211,3247,7,4509000740
212,3247,7,4509033982
213,3247,7,4509066965
214,3247,7,4509100204
215,3247,7,4509133975
216,3247,7,4509167105
217,3247,7,4509200696
218,3247,7,4509234404
219,3247,7,4509267862
220,3247,7,4509302002
221,3247,7,4509334400
222,3247,7,4509367050
223,3247,7,4509401211
224,3247,7,4509434382
225,3247,7,4509467575
226,3247,7,4509500948
227,3247,7,4509534451
228,3247,7,4509566827
229,3247,7,4509601358
230,3247,7,4509635540
231,3247,7,4509667166
232,3247,7,4509700580
233,3247,7,4509735221
234,3247,7,4509767152
235,3247,7,4509801516
236,3247,7,4509833946
237,3247,7,4509867108
238,3247,7,4509901191
239,3247,7,4509934424
240,3247,7,4509966498
241,3247,7,4510000919
242,3247,7,4510034500
243,3247,7,4510067546
244,3247,7,4510101504
245,3247,7,4510134524
246,3247,7,4510167301
247,3247,7,4510200810
248,3247,7,4510233947
249,3247,7,4510266893
250,3247,7,4510300142
251,3247,7,4510334939
252,3247,7,4510366912
253,3248,9,4510401679
254,3248,9,4510434081
255,3248,9,4510467013
256,3248,9,4510501960
257,3248,9,4510534574
258,3248,9,4510568210
259,3248,9,4510601191
260,3248,9,4510634985
261,3248,9,4510666988
262,3248,9,4510701237
263,3248,9,4510735215
264,3248,9,4510767164
265,3248,9,4510800086
266,3248,9,4510834514
267,3248,9,4510867460
268,3247,5,4510900943
269,3247,5,4510934158
270,3247,5,4510966863
271,3247,5,4511001367
272,3247,5,4511035163
273,3247,5,4511067488
274,3247,5,4511100260
275,3247,5,4511133518
276,3247,5,4511167247
277,3247,5,4511200492
278,3247,5,4511233699
279,3247,5,4511266980
280,3247,5,4511301067
281,3247,5,4511334389
282,3247,5,4511366602
283,3247,5,4511400944
284,3247,5,4511434486
285,3247,5,4511467281
286,3247,5,4511500416
287,3247,5,4511533664
288,3247,5,4511566252
289,3247,5,4511599490
290,3247,5,4511631743
291,3247,5,4511664237
292,3247,5,4511697988
293,3247,6,4511731996
294,3247,6,4511764331
295,3247,6,4511798165
296,3247,6,4511831673
297,3247,6,4511864218
298,3247,6,4511897669
299,3247,6,4511931509
300,3247,6,4511964359
301,3247,6,4511997961
302,3247,6,4512031653
303,3247,6,4512064161
304,3247,6,4512098068
305,3247,6,4512131865
306,3247,6,4512164136
307,3247,6,4512197816
308,3247,6,4512231572
309,3247,6,4512264181
310,3247,6,4512297756
311,3247,6,4512331922
312,3247,6,4512366193
313,3247,6,4512397971
314,3247,6,4512431513
315,3247,6,4512465129
316,3247,6,4512498012
317,3247,6,4512531506
318,3247,6,4512565127
319,3247,6,4512597648
320,3247,6,4512631430
321,3247,6,4512664915
322,3247,6,4512697632
323,3247,6,4512731362
324,3247,6,4512765167
325,3247,6,4512797875
326,3247,6,4512831494
327,3247,6,4512865152
328,3247,6,4512897877
329,3247,6,4512931477
330,3247,6,4512965256
331,3247,6,4512997907
332,3247,6,4513031591
333,3247,6,4513064121
334,3247,6,4513098285
335,3247,6,4513131782
336,3247,6,4513164711
337,3247,6,4513198375
338,3247,6,4513230964
339,3247,6,4513264670
340,3247,6,4513298366
341,3247,6,4513331053
342,3247,6,4513364768
343,3247,6,4513398378
344,3247,6,4513431104
345,3247,6,4513464797
346,3247,6,4513497733
347,3247,6,4513531332
348,3247,6,4513565221
349,3247,6,4513597675
350,3247,6,4513631484
351,3247,6,4513665113
352,3247,6,4513697841
353,3247,6,4513731381
354,3247,6,4513765158
355,3247,6,4513797502
356,3247,6,4513831198
357,3247,6,4513865241
358,3247,6,4513897608
359,3247,6,4513931315
360,3247,6,4513964873
361,3247,6,4513997892
362,3247,6,4514031652
363,3247,6,4514065076
364,3247,6,4514098138
365,3247,6,4514131955
366,3247,6,4514164444
367,3247,6,4514198412
368,3247,6,4514230998
369,3247,6,4514264758
370,3247,6,4514298473
371,3247,6,4514330995
372,3247,6,4514364641
373,3247,6,4514398257
374,3247,6,4514431651
375,3247,6,4514464834
376,3247,6,4514498336
377,3247,6,4514531872
378,3247,6,4514564556
379,3247,6,4514598320
380,3247,6,4514632320
381,3247,6,4514664847
382,3247,6,4514698373
383,3247,6,4514730967
384,3247,6,4514764646
385,3247,6,4514798412
386,3247,6,4514831554
387,3247,6,4514864916
388,3247,6,4514898615
