frame_seq,target_bitrate_kbps,rtt_ms,timestamp_us
0,283,0,4291581440
1,283,0,4291597543
2,1312,0,4291691809
3,2569,0,4291814639
4,3206,0,4291923656
5,3206,0,4291990339
6,3206,0,4292023165
7,3206,0,4292056304
8,3206,0,4292118136
9,3206,0,4292176785
10,3206,0,4292292909
11,3206,0,4292296839
12,3206,0,4292300524
13,3206,0,4292323634
14,3206,0,4292355688
15,3206,0,4292390093
16,3206,0,4292423674
17,3206,0,4292456022
18,3206,0,4292489249
19,3206,0,4292523023
20,3206,0,4292556250
21,3206,0,4292589284
22,3206,0,4292622549
23,3206,0,4292656669
24,3206,0,4292690279
25,3206,0,4292724026
26,3206,0,4292756772
27,3206,0,4292789864
28,3206,0,4292823207
29,3206,0,4292857038
30,3206,0,4292890146
31,3206,0,4292923533
32,3206,0,4292956761
33,3206,0,4292990188
34,3206,0,4293023192
35,3206,0,4293057055
36,3206,0,4293090121
37,3206,0,4293181130
38,3250,7,4293315345
39,3250,7,4293398622
40,3250,7,4293569165
41,3250,7,4293629354
42,3250,7,4293688262
43,3250,7,4293692505
44,3250,7,4293696729
45,3250,7,4293701016
46,3250,7,4293722987
47,3250,7,4293757203
48,3250,7,4293789578
49,3250,7,4293822579
50,3250,7,4293857098
51,3250,7,4293890285
52,3250,7,4293923746
53,3250,7,4293957314
54,3250,7,4293990327
55,3250,7,4294023687
56,3250,7,4294057313
57,3250,7,4294089469
58,3250,7,4294122776
59,3250,7,4294156326
60,3250,7,4294189775
61,3250,7,4294223454
62,3250,7,4294256530
63,3250,7,4294290323
64,3250,7,4294324096
65,3250,7,4294356729
66,3250,7,4294390408
67,3250,7,4294423780
68,3250,7,4294497513
69,3250,7,4294611496
70,3250,7,4294615789
71,3250,7,4294620191
72,3250,7,4294624575
73,3250,7,4294657615
74,3250,7,4294690273
75,3250,7,4294723501
76,3250,7,4294756665
77,3250,7,4294790321
78,3250,7,4294823873
79,3250,7,4294857282
80,3250,7,4294890534
81,3250,7,4294923942
82,3250,7,4294957140
83,3250,7,4294990408
84,3250,7,4295023548
85,3250,7,4295056623
86,3250,7,4295089914
87,3250,7,4295122923
88,3250,7,4295155858
89,3250,7,4295235113
90,3250,7,4295258131
91,3250,7,4295303678
92,3250,7,4295307711
93,3250,7,4295323268
94,3250,7,4295356475
95,3247,1,4295389234
96,3247,1,4295423434
97,3247,1,4295457170
98,3247,1,4295495264
99,3247,1,4295520999
100,3247,1,4295555108
101,3247,1,4295588201
102,3247,1,4295621556
103,3247,1,4295654532
104,3247,1,4295688568
105,3247,1,4295721733
106,3247,1,4295754924
107,3247,1,4295787932
108,3247,1,4295822038
109,3247,1,4295912014
110,3247,1,4295914326
111,3247,1,4295922009
112,3247,1,4295955009
113,3247,1,4295988460
114,3247,1,4296021552
115,3247,1,4296054915
116,3247,1,4296088176
117,3247,1,4296121483
118,3247,1,4296154509
119,3247,1,4296188544
120,3247,1,4296221771
121,3247,1,4296254841
122,3247,1,4296287957
123,3247,1,4296322251
124,3247,1,4296355352
125,3247,1,4296388695
126,3247,1,4296421852
127,3247,1,4296454748
128,3247,1,4296487905
129,3247,1,4296522844
130,3247,1,4296555101
131,3247,1,4296588632
132,3247,1,4296621936
133,3247,1,4296655175
134,3247,1,4296688393
135,3247,1,4296721831
136,3247,1,4296754828
137,3249,4,4296838070
138,3249,4,4296896376
139,3249,4,4296898895
140,3249,4,4296921848
141,3249,4,4296990082
142,3249,4,4297035390
143,3249,4,4297038017
144,3249,4,4297056132
145,3249,4,4297089037
146,3249,4,4297122358
147,3249,4,4297155464
148,3249,4,4297209959
149,3249,4,4297253851
150,3249,4,4297256307
151,3249,4,4297288185
152,3249,4,4297321439
153,3249,4,4297355829
154,3249,4,4297388800
155,3249,4,4297422193
156,3249,4,4297455152
157,3249,4,4297488285
158,3249,4,4297521368
159,3249,4,4297555782
160,3249,4,4297589051
161,3249,4,4297622466
162,3249,4,4297655814
163,3249,4,4297689020
164,3249,4,4297722108
165,3249,4,4297755386
166,3249,4,4297789008
167,3249,4,4297903510
168,3249,4,4297906469
169,3249,4,4297921928
170,3249,4,4297955068
171,3249,4,4297988366
172,3249,4,4298021414
173,3249,4,4298055576
174,3249,4,4298089008
175,3249,4,4298122321
176,3249,4,4298155653
177,3249,4,4298189236
178,3247,5,4298222370
179,3247,5,4298300475
180,3247,5,4298412177
181,3247,5,4298414648
182,3247,5,4298416935
183,3247,5,4298421671
184,3247,5,4298454854
