frame_seq,target_bitrate_kbps,rtt_ms,timestamp_us
0,283,0,4151537321
1,283,0,4151566670
2,664,0,4151601454
3,664,0,4151635834
4,1989,0,4151667961
5,3195,0,4151732858
6,3195,0,4151799626
7,3195,0,4151866475
8,3195,0,4151932846
9,3195,0,4151999317
10,3195,0,4152032479
11,3195,0,4152065569
12,3195,0,4152099087
13,3195,0,4152132588
14,3195,0,4152165509
15,3195,0,4152199182
16,3195,0,4152334616
17,3240,7,4152364689
18,3240,7,4152370288
19,3240,7,4152376472
20,3240,7,4152382176
21,3240,7,4152399488
22,3240,7,4152432237
23,3240,7,4152465540
24,3240,7,4152603367
25,3240,7,4152769712
26,3240,7,4152971781
27,3240,7,4153087829
28,3240,7,4153094388
29,3240,7,4153101030
30,3240,7,4153108779
31,3240,7,4153115425
32,3240,7,4153122514
33,3240,7,4153129342
34,3240,7,4153136989
35,3240,7,4153144058
36,3240,7,4153151203
37,3240,7,4153158107
38,3240,7,4153165412
39,3240,7,4153173217
40,3240,7,4153179843
41,3240,7,4153186298
42,3240,7,4153192432
43,3240,7,4153198682
44,3240,7,4153205129
45,3240,7,4153211420
46,3240,7,4153233723
47,3240,7,4153266571
48,3240,7,4153299535
49,3240,7,4153332349
50,3240,7,4153365700
51,3240,7,4153399504
52,3240,7,4153433127
53,3240,7,4153466238
54,3240,7,4153499705
55,3240,7,4153533229
56,3240,7,4153565539
57,3240,7,4153599610
58,3240,7,4153632819
59,3240,7,4153666455
60,3236,5,4153698990
61,3236,5,4153733220
62,3236,5,4153765399
63,3236,5,4153798876
64,3236,5,4153832444
65,3236,5,4153865639
66,3236,5,4153898532
67,3236,5,4153933451
68,3236,5,4153965698
69,3236,5,4153999176
70,3236,5,4154054889
71,3236,5,4154067371
72,3236,5,4154098714
73,3236,5,4154133197
74,3236,5,4154165849
75,3236,5,4154199811
76,3236,5,4154232224
77,3236,5,4154266326
78,3236,5,4154299756
79,3236,5,4154333059
80,3236,5,4154367471
81,3236,5,4154400470
82,3236,5,4154434009
83,3236,5,4154466884
84,3236,5,4154500480
85,3236,5,4154533341
86,3236,5,4154623219
87,3236,5,4154628966
88,3236,5,4154635560
89,3236,5,4154666143
90,3236,6,4154700043
91,3236,6,4154732315
92,3236,6,4154867797
93,3236,6,4154982251
94,3236,6,4155087605
95,3236,6,4155093932
96,3236,6,4155099830
97,3236,6,4155105750
98,3236,6,4155112045
99,3236,6,4155118736
100,3236,6,4155125126
101,3236,6,4155131333
102,3236,6,4155137662
103,3236,6,4155143158
104,3236,6,4155166651
105,3236,6,4155199795
106,3236,6,4155233393
107,3236,6,4155265855
108,3236,6,4155299912
109,3236,6,4155332708
110,3236,6,4155366940
111,3236,6,4155455678
112,3236,6,4155461253
113,3236,6,4155467257
114,3236,6,4155499104
115,3236,6,4155532682
116,3236,6,4155566064
117,3236,6,4155600040
118,3236,6,4155632278
119,3236,6,4155665335
120,3236,6,4155699830
121,3236,6,4155732604
122,3236,6,4155766153
123,3236,6,4155799415
124,3236,6,4155833156
125,3236,6,4155866271
126,3236,6,4155900001
127,3236,6,4155932617
128,3236,6,4155965836
129,3236,6,4155998951
130,3236,6,4156032280
131,3236,6,4156066047
132,3236,6,4156099115
133,3236,6,4156132739
134,3236,6,4156166755
135,3236,5,4156199271
136,3236,5,4156232591
137,3236,5,4156265873
138,3236,5,4156298828
139,3236,5,4156332011
140,3236,5,4156366491
141,3236,5,4156398356
142,3236,5,4156432695
143,3236,5,4156466015
144,3236,5,4156499509
145,3236,5,4156532425
146,3236,5,4156566323
147,3236,5,4156599453
148,3236,5,4156632673
149,3236,5,4156665893
150,3236,5,4156698539
151,3236,5,4156732225
152,3236,5,4156823716
153,3236,5,4156829730
154,3236,5,4156835924
155,3236,5,4157005095
156,3236,7,4157055312
157,3236,7,4157061197
158,3236,7,4157067700
159,3236,7,4157074892
160,3236,7,4157103083
161,3236,7,4157235067
162,3236,7,4157456978
163,3236,7,4157549787
164,3236,7,4157581107
165,3236,7,4157587259
166,3236,7,4157594378
167,3236,7,4157600269
168,3236,7,4157606770
169,3236,7,4157613656
170,3236,7,4157622218
171,3236,7,4157627126
172,3236,7,4157633077
173,3236,7,4157640268
174,3236,7,4157647175
175,3236,7,4157654006
176,3236,7,4157660938
177,3236,7,4157667987
178,3236,7,4157674721
179,3236,7,4157681890
180,3236,7,4157700060
181,3236,7,4157733177
182,3236,7,4157766156
183,3236,7,4157799558
184,3236,7,4157833231
185,3236,7,4157866826
186,3236,7,4157995706
187,3236,7,4158169879
188,3236,6,4158891480
189,3236,6,4159060045
190,3236,6,4159222955
191,3236,6,4159416455
192,3236,6,4159597602
193,3236,6,4159737674
194,3236,6,4159872030
195,3236,6,4160101508
196,3236,6,4160184724
197,3236,6,4160295224
198,3236,6,4160362538
199,3236,6,4160369887
200,3236,6,4160377499
201,3236,6,4160385353
202,3236,6,4160393101
203,3236,6,4160400123
204,3239,8,4160566720
205,3239,8,4160661903
206,3239,8,4160670892
207,3239,8,4160678024
208,3239,8,4160685206
209,3239,8,4160693294
210,3239,8,4160700243
211,3239,8,4160707554
212,3239,8,4160715399
213,3239,8,4160722701
214,3239,8,4160729498
215,3239,8,4160736843
216,3239,8,4160744309
217,3239,8,4160751144
218,3239,8,4160758879
219,3239,8,4160765654
220,3239,8,4160773335
221,3239,8,4160779775
222,3239,8,4160787402
223,3239,8,4160794561
224,3239,8,4160801952
225,3239,8,4160810097
226,3239,8,4160816952
227,3239,8,4160824844
228,3239,8,4160832906
229,3239,8,4160866388
230,3239,8,4160874874
231,3239,8,4160940030
232,3239,8,4161061256
233,3239,8,4161069253
234,3239,8,4161076730
235,3233,8,4161085136
236,3233,8,4161092658
237,3233,8,4161100638
238,3233,8,4161107467
239,3233,8,4161114376
240,3233,8,4161121794
241,3233,8,4161129671
242,3233,8,4161136675
243,3233,8,4161145136
244,3233,8,4161152387
245,3233,8,4161160288
246,3233,8,4161167057
247,3233,8,4161174226
248,3233,8,4161181281
249,3233,8,4161187824
250,3233,8,4161196150
251,3233,8,4161202692
252,3233,8,4161209733
253,3233,8,4161217350
254,3233,8,4161225222
255,3233,8,4161233039
256,3233,8,4161240079
257,3233,8,4161247514
258,3233,8,4161254868
259,3233,8,4161262392
260,3233,8,4161270263
261,3233,8,4161276937
262,3233,8,4161285006
263,3233,8,4161291729
264,3233,8,4161300210
265,3233,8,4161307434
266,3233,8,4161315910
267,3233,8,4161322822
268,3233,8,4161329199
269,3233,8,4161337610
270,3217,8,4161344663
271,3217,8,4161352238
272,3217,8,4161359387
273,3217,8,4161365946
274,3217,8,4161373978
275,3217,8,4161381741
276,3217,8,4161389139
277,3217,8,4161395408
278,3217,8,4161403017
279,3217,8,4161410080
280,3217,8,4161418127
281,3217,8,4161425041
282,3217,8,4161432103
283,3217,8,4161438904
284,3217,8,4161446269
