frame_seq,target_bitrate_kbps,rtt_ms,timestamp_us
0,283,0,4431765617
1,283,0,4431796138
2,828,0,4431828659
3,1126,0,4431895516
4,1124,0,4431961844
5,1128,0,4432028934
6,1128,0,4432096730
7,1128,0,4432128636
8,1128,0,4432162529
9,1128,0,4432195600
10,1128,0,4432228625
11,1128,0,4432261287
12,1128,0,4432295244
13,1128,0,4432328598
14,1128,0,4432361418
15,1128,0,4432395757
16,1128,0,4432429245
17,1128,0,4432462079
18,1128,0,4432495336
19,1128,0,4432528755
20,1128,0,4432561931
21,1128,0,4432596041
22,1128,0,4432629229
23,1128,0,4432662131
24,1128,0,4432695347
25,1128,0,4432728369
26,1128,0,4432762405
27,1128,0,4432795486
28,1128,0,4432828810
29,1128,0,4432862073
30,1128,0,4432894727
31,1128,0,4432929220
32,1128,0,4432962456
33,1128,0,4432995272
34,1128,0,4433028670
35,1145,5,4433061726
36,1145,5,4433095101
37,1145,5,4433128253
38,1145,5,4433162198
39,1145,5,4433195663
40,1145,5,4433228953
41,1145,5,4433261708
42,1145,5,4433296023
43,1145,5,4433328758
44,1145,5,4433362179
45,1145,5,4433395527
46,1145,5,4433429644
47,1145,5,4433462691
48,1145,5,4433496290
49,1145,5,4433528209
50,1145,4,4433562015
51,1145,4,4433595031
52,1145,4,4433629047
53,1145,4,4433662227
54,1145,4,4433695192
55,1145,4,4433728313
56,1145,4,4433762580
57,1145,4,4433796035
58,1145,4,4433829080
59,1145,4,4433861848
60,1145,4,4433895196
61,1145,4,4433929701
62,1145,4,4433961307
63,1145,4,4433995650
64,1145,4,4434029252
65,1145,4,4434062187
66,1145,4,4434096274
67,1145,4,4434129126
68,1145,4,4434162632
69,1145,4,4434195957
70,1145,4,4434228873
71,1145,4,4434262259
72,1145,4,4434296334
73,1145,4,4434328267
74,1145,4,4434362290
75,1145,7,4434395086
76,1145,7,4434429090
77,1145,7,4434462424
78,1145,7,4434495852
79,1145,7,4434529197
80,1145,7,4434562913
81,1145,7,4434595532
82,1145,7,4434629070
83,1145,7,4434661737
84,1145,7,4434695837
85,1145,7,4434729030
86,1145,7,4434762269
87,1145,7,4434796293
88,1145,7,4434828903
89,1145,7,4434861834
90,1145,7,4434894922
91,1145,7,4434928718
92,1145,7,4434961824
93,1145,7,4434994954
94,1145,7,4435028799
95,1145,7,4435061976
96,1145,7,4435095343
97,1145,7,4435128009
