frame_seq,frame_number,total_packets,received_packets,lost_packets,loss_rate,timestamp_us,target_bitrate_kbps
131,132,17,17,0,0.0000,1052920052313,5000
132,133,11,11,0,0.0000,1052920087767,5000
133,134,16,16,0,0.0000,1052920120738,5000
134,135,19,19,0,0.0000,1052920152213,5000
135,136,10,10,0,0.0000,1052920188587,5000
136,137,13,13,0,0.0000,1052920218559,5000
137,138,8,8,0,0.0000,1052920251004,5000
138,139,8,8,0,0.0000,1052920289510,5000
139,140,12,12,0,0.0000,1052920317745,5000
140,141,5,5,0,0.0000,1052920350179,5000
141,142,4,4,0,0.0000,1052920385588,5000
142,143,5,5,0,0.0000,1052920418850,5000
143,144,10,10,0,0.0000,1052920450877,5000
144,145,4,4,0,0.0000,1052920485121,5000
145,146,5,5,0,0.0000,1052920519643,5000
146,147,11,11,0,0.0000,1052920553571,5000
147,148,10,10,0,0.0000,1052920584975,5000
148,149,12,12,0,0.0000,1052920619243,5000
149,150,8,8,0,0.0000,1052920653151,5000
150,151,15,15,0,0.0000,1052920688744,5000
151,152,7,7,0,0.0000,1052920722320,5000
152,153,10,10,0,0.0000,1052920755432,5000
153,154,14,14,0,0.0000,1052920785640,5000
154,155,8,8,0,0.0000,1052920818074,5000
155,156,12,12,0,0.0000,1052920851609,5000
156,157,9,9,0,0.0000,1052920886855,5000
157,158,12,12,0,0.0000,1052920918788,5000
158,159,9,9,0,0.0000,1052920954171,5000
159,160,9,9,0,0.0000,1052920987093,5000
160,161,14,14,0,0.0000,1052921018829,5000
161,162,8,8,0,0.0000,1052921052357,5000
162,163,9,9,0,0.0000,1052921085416,5000
163,164,11,11,0,0.0000,1052921119601,5000
164,165,11,11,0,0.0000,1052921153653,5000
165,166,10,10,0,0.0000,1052921187961,5000
166,167,8,8,0,0.0000,1052921222208,5000
167,168,10,10,0,0.0000,1052921251699,5000
168,169,11,11,0,0.0000,1052921285446,5000
169,170,11,11,0,0.0000,1052921318596,5000
170,171,11,11,0,0.0000,1052921351122,5000
171,172,13,13,0,0.0000,1052921385201,5000
172,173,8,8,0,0.0000,1052921417814,5000
173,174,10,10,0,0.0000,1052921451413,5000
174,175,11,11,0,0.0000,1052921488205,5000
175,176,10,10,0,0.0000,1052921518291,5000
