frame_seq,target_bitrate_kbps,rtt_ms,timestamp_us
0,283,0,3941149329
1,284,0,3941181257
2,1794,0,3941252448
3,3207,0,3941281776
4,3207,0,3941405952
5,3207,0,3941422287
6,3207,0,3941448209
7,3207,0,3941481780
8,3207,0,3941515973
9,3207,0,3941548550
10,3207,0,3941583527
11,3207,0,3941613612
12,3207,0,3941647637
13,3207,0,3941681097
14,3207,0,3941713857
15,3207,0,3941746821
16,3207,0,3941780766
17,3207,0,3941814463
18,3207,0,3941928536
19,3207,0,3942051439
20,3207,0,3942058446
21,3207,0,3942066936
22,3207,0,3942074304
23,3207,0,3942081407
24,3207,0,3942088448
25,3207,0,3942095025
26,3207,0,3942113502
27,3207,0,3942145970
28,3207,0,3942179928
29,3250,4,3942213632
30,3250,4,3942246716
31,3250,4,3942280185
32,3250,4,3942313551
33,3250,4,3942438889
34,3250,4,3942616074
35,3250,4,3942833246
36,3250,4,3942955975
37,3250,4,3942964090
38,3250,4,3942971605
39,3250,4,3942978727
40,3250,4,3942987683
41,3250,4,3942996158
42,3250,4,3943004259
43,3250,4,3943012402
44,3250,8,3943021614
45,3250,8,3943028876
46,3250,8,3943037673
47,3250,8,3943045288
48,3250,8,3943053366
49,3250,8,3943058819
50,3250,8,3943065208
51,3250,8,3943071627
52,3250,8,3943078043
53,3250,8,3943085028
54,3250,8,3943091846
55,3250,8,3943098327
56,3250,8,3943113964
57,3250,8,3943146437
58,3250,8,3943179984
59,3250,8,3943213467
60,3250,8,3943344628
61,3250,8,3943466662
62,3250,8,3943473261
63,3250,8,3943479613
64,3250,8,3943485310
65,3250,8,3943491796
66,3250,8,3943497188
67,3250,8,3943503115
68,3250,8,3943515131
69,3250,8,3943546616
70,3250,8,3943579265
71,3250,8,3943613190
72,3250,8,3943646999
73,3250,8,3943680335
74,3250,8,3943713672
75,3250,8,3943746989
76,3250,8,3943781079
77,3244,8,3943813313
78,3244,8,3943847376
79,3244,8,3943879772
80,3244,8,3943913187
81,3244,8,3943946049
82,3244,8,3943979662
83,3244,8,3944012805
84,3244,8,3944046113
85,3248,8,3944134517
86,3248,8,3944203107
87,3248,8,3944209129
88,3248,8,3944216382
89,3248,5,3944345541
90,3248,5,3944389968
91,3248,5,3944397169
92,3248,5,3944403547
93,3248,5,3944410362
94,3248,5,3944418636
95,3248,5,3944423745
96,3248,5,3944447361
97,3248,5,3944480408
98,3248,5,3944513398
99,3248,5,3944547843
100,3248,5,3944580490
101,3248,5,3944613583
102,3248,5,3944646644
