frame_seq,target_bitrate_kbps,rtt_ms,timestamp_us
0,283,0,4326575869
1,283,0,4326597812
2,283,0,4326629538
3,851,0,4326665055
4,1676,0,4326729243
5,3055,0,4326796171
6,3055,0,4326863032
7,3055,0,4326929945
8,3055,0,4326962319
9,3055,0,4326995164
10,3055,0,4327030202
11,3055,0,4327062603
12,3055,0,4327095883
13,3055,0,4327129442
14,3055,0,4327162726
15,3055,0,4327196815
16,3055,0,4327229139
17,3055,0,4327262433
18,3055,0,4327295457
19,3055,0,4327329194
20,3055,0,4327362197
21,3055,0,4327396516
22,3055,0,4327428739
23,3055,0,4327462840
24,3055,0,4327496305
25,3055,0,4327530276
26,3055,0,4327563123
27,3055,0,4327596797
28,3055,0,4327628759
29,3055,0,4327663170
30,3097,1,4327696850
31,3097,1,4327729836
32,3097,1,4327764183
33,3097,1,4327796099
34,3097,1,4327829469
35,3097,1,4327863102
36,3097,1,4327896560
37,3097,1,4327929048
38,3097,1,4327962362
39,3097,1,4327996277
40,3097,1,4328029522
41,3097,1,4328062553
42,3097,1,4328096310
43,3097,1,4328129803
44,3097,1,4328163133
45,3097,1,4328196490
46,3097,1,4328229534
47,3097,1,4328263209
48,3097,1,4328296769
49,3095,53,4328329143
50,3095,53,4328363344
51,3095,53,4328396013
52,3095,53,4328429352
53,3095,53,4328463077
54,3095,53,4328496495
55,3095,53,4328530812
56,3095,53,4328564060
57,3095,53,4328595930
58,3095,53,4328629066
59,3095,53,4328662690
60,3095,53,4328695863
61,3095,53,4328729195
62,3095,53,4328762195
63,3095,53,4328796558
64,3095,53,4328829632
65,3095,53,4328862781
66,3095,53,4328896168
67,3094,4,4328929873
68,3094,4,4328963086
69,3094,4,4328996605
70,3094,4,4329029938
71,3094,4,4329063224
72,3094,4,4329096913
73,3094,4,4329128945
74,3094,4,4329162471
75,3094,4,4329196087
76,3094,4,4329229288
77,3094,4,4329262658
78,3094,4,4329295733
79,3094,4,4329329269
80,3094,4,4329363236
81,3094,4,4329396269
82,3094,4,4329429834
83,3094,4,4329463482
84,3094,4,4329495962
85,3094,4,4329529518
86,3094,4,4329563103
87,3094,4,4329596428
88,3094,4,4329630258
89,3094,4,4329663259
90,3094,4,4329695630
91,3094,4,4329730908
92,3094,4,4329763728
93,3094,4,4329795842
94,3094,4,4329830353
95,3094,4,4329862416
96,3093,5,4329897588
97,3093,5,4329929224
98,3093,5,4329962124
99,3093,5,4329996325
100,3093,5,4330030289
101,3093,5,4330063933
102,3093,5,4330096002
103,3093,5,4330130371
104,3093,5,4330162976
105,3093,5,4330195590
106,3093,5,4330229511
107,3093,5,4330262765
108,3093,5,4330295756
109,3093,5,4330329909
110,3093,5,4330362948
111,3093,5,4330396157
112,3093,5,4330429365
113,3093,5,4330462133
114,3093,5,4330496620
115,3093,4,4330530240
116,3093,4,4330562033
