frame_seq,target_bitrate_kbps,rtt_ms,timestamp_us
0,283,0,4116461399
1,283,0,4116475669
2,283,0,4116506455
3,822,0,4116541717
4,1746,0,4116607558
5,3207,0,4116674007
6,3207,0,4116741048
7,3207,0,4116807714
8,3207,0,4116840487
9,3207,0,4116873983
10,3207,0,4116907762
11,3207,0,4116940209
12,3207,0,4116973925
13,3207,0,4117008013
14,3207,0,4117040137
15,3207,0,4117073652
16,3207,0,4117107720
17,3207,0,4117141040
18,3207,0,4117175654
19,3207,0,4117207497
20,3207,0,4117241403
21,3207,0,4117274052
22,3207,0,4117307451
23,3207,0,4117341196
24,3207,0,4117375022
25,3207,0,4117408099
26,3207,0,4117440277
27,3207,0,4117473677
28,3207,0,4117506974
29,3207,0,4117540715
30,3207,0,4117574068
31,3207,0,4117607515
32,3207,0,4117641114
33,3207,0,4117674619
34,3207,0,4117710087
35,3207,0,4117742098
36,3207,0,4117774525
37,3207,0,4117807185
38,3207,0,4117840347
39,3207,0,4117873847
40,3249,9,4117907193
41,3249,9,4117940750
42,3249,9,4117974818
43,3249,9,4118007616
44,3249,9,4118040846
45,3249,9,4118074277
46,3249,9,4118107526
47,3249,9,4118141640
48,3249,9,4118174669
49,3249,9,4118207749
50,3249,9,4118240821
51,3249,9,4118273875
52,3249,9,4118307256
53,3249,9,4118341320
54,3249,9,4118373425
55,3249,9,4118407813
56,3249,9,4118441394
57,3249,9,4118474154
58,3249,9,4118507299
59,3249,9,4118540518
60,3249,9,4118573938
61,3249,9,4118607079
62,3249,9,4118640339
63,3249,9,4118673494
64,3249,9,4118707843
65,3249,9,4118740693
66,3249,9,4118773745
67,3249,9,4118806819
68,3249,9,4118840255
69,3249,9,4118873505
70,3249,9,4118906345
71,3249,9,4118940706
72,3249,9,4118974168
73,3249,9,4119007972
74,3249,9,4119039977
75,3248,6,4119073454
76,3248,6,4119107503
77,3248,6,4119141159
78,3248,6,4119173321
79,3248,6,4119207496
80,3248,6,4119241231
81,3248,6,4119273191
82,3248,6,4119307541
83,3248,6,4119340620
84,3248,6,4119374476
85,3248,6,4119407756
86,3248,6,4119440880
87,3248,6,4119474025
88,3248,6,4119507391
89,3248,6,4119540905
90,3248,6,4119574379
91,3248,6,4119607560
92,3248,6,4119640770
93,3248,6,4119674299
94,3248,6,4119707468
95,3248,6,4119741068
96,3248,6,4119774787
97,3248,6,4119807065
98,3248,6,4119840359
99,3248,6,4119874439
100,3248,6,4119909279
101,3248,6,4119940730
102,3248,6,4119973829
103,3248,6,4120007248
104,3248,6,4120041420
105,3248,6,4120074234
106,3248,6,4120107343
107,3248,6,4120140685
108,3248,6,4120174780
109,3248,6,4120207780
110,3248,6,4120240990
111,3248,6,4120274466
112,3248,6,4120307791
113,3248,6,4120341017
114,3248,6,4120374023
115,3248,6,4120407175
116,3248,6,4120440900
117,3248,6,4120474723
118,3248,6,4120507179
119,3248,6,4120540863
120,3248,6,4120574274
121,3248,6,4120607784
122,3248,6,4120641986
123,3248,6,4120674655
124,3248,6,4120707199
125,3248,6,4120740418
126,3248,6,4120773449
127,3248,6,4120808023
128,3248,6,4120841178
129,3248,6,4120874807
130,3248,6,4120907321
131,3247,7,4120940814
132,3247,7,4120974112
133,3247,7,4121008460
134,3247,7,4121040178
135,3247,7,4121074600
136,3247,7,4121108088
137,3247,7,4121140903
138,3247,7,4121173660
139,3247,7,4121207592
140,3247,7,4121240621
141,3247,7,4121275124
142,3247,7,4121307014
143,3247,7,4121340256
144,3247,7,4121374063
145,3247,7,4121407215
146,3247,7,4121440617
147,3247,7,4121474538
148,3247,7,4121507720
149,3247,7,4121541479
150,3247,7,4121574578
151,3247,7,4121608328
152,3247,7,4121641054
153,3246,5,4121674669
154,3246,5,4121707032
155,3246,5,4121740107
156,3246,5,4121774528
157,3246,5,4121807739
158,3246,5,4121840610
159,3246,5,4121873640
160,3246,5,4121907566
161,3246,5,4121941210
162,3246,5,4121975500
163,3246,5,4122010026
164,3246,5,4122040752
165,3246,5,4122073551
166,3246,5,4122107192
167,3246,5,4122140116
168,3246,5,4122173191
169,3246,5,4122208103
170,3246,5,4122240414
171,3246,5,4122274410
172,3246,5,4122306974
173,3246,5,4122339921
174,3246,5,4122374231
175,3246,5,4122408830
176,3246,5,4122441452
177,3246,5,4122473755
178,3246,5,4122507743
179,3246,5,4122540299
180,3246,5,4122574214
181,3246,5,4122607825
182,3246,5,4122641324
183,3246,5,4122674631
184,3246,5,4122708228
185,3246,5,4122740768
186,3246,5,4122774065
187,3246,5,4122807425
188,3246,5,4122841375
189,3246,5,4122874750
190,3246,5,4122907049
191,3246,5,4122939773
192,3246,5,4122973989
193,3246,5,4123007444
194,3246,5,4123040427
195,3246,5,4123074597
196,3246,5,4123107790
197,3246,5,4123140982
198,3246,5,4123174269
199,3246,5,4123207548
200,3246,5,4123240501
201,3246,5,4123273771
