frame_seq,target_bitrate_kbps,rtt_ms,timestamp_us
0,283,0,3906039743
1,283,0,3906062857
2,810,0,3906095430
3,810,0,3906128030
4,1666,0,3906195557
5,2936,0,3906262041
6,2936,0,3906327901
7,2936,0,3906568270
8,2936,0,3906629600
9,2936,0,3906633326
10,2936,0,3906636647
11,2936,0,3906640020
12,2936,0,3906643213
13,2936,0,3906646629
14,2936,0,3906650113
15,2936,0,3906660922
16,2936,0,3906695574
17,2936,0,3906728119
18,2936,0,3906761296
19,2936,0,3906794704
20,2936,0,3906828355
21,2936,0,3906861557
22,2936,0,3906895278
23,2936,0,3906928529
24,2936,0,3906962264
25,2936,0,3906994660
26,2936,0,3907027911
27,2936,0,3907061011
28,2936,0,3907094122
29,2936,0,3907128883
30,2936,0,3907162354
31,2936,0,3907194852
32,2936,0,3907228023
33,2936,0,3907319542
34,2976,7,3907385151
35,2976,7,3907388517
36,2976,7,3907391822
37,2976,7,3907395206
38,2976,7,3907428806
39,2976,7,3907461802
40,2976,7,3907495011
41,2976,7,3907528780
42,2976,7,3907561764
43,2976,7,3907672737
44,2976,7,3907731369
45,2976,7,3907735790
46,2976,7,3907738988
47,2976,7,3907742520
48,2976,7,3907761838
49,2976,7,3907795410
50,2976,7,3907827712
51,2976,7,3907861680
52,2976,7,3907894606
53,2976,7,3907927805
54,2976,7,3907961433
55,2976,7,3907994456
56,2976,7,3908029901
57,2976,7,3908061918
58,2976,7,3908094777
59,2976,7,3908128346
60,2976,7,3908161601
61,2976,7,3908194983
62,2976,7,3908228115
63,2976,7,3908260987
64,2976,7,3908295307
65,2976,7,3908328617
66,2976,7,3908361612
67,2976,7,3908394687
68,2976,7,3908427436
69,2973,6,3908461911
70,2973,6,3908495032
71,2973,6,3908527692
72,2973,6,3908561864
73,2973,6,3908595362
74,2973,6,3908683047
75,2973,6,3908686527
76,2973,6,3908694392
77,2973,6,3908728215
78,2973,6,3908761600
79,2973,6,3908878635
80,2973,6,3908881701
81,2973,6,3908884917
82,2973,6,3908894853
83,2973,6,3908927819
84,2973,6,3908960738
85,2973,6,3908994868
86,2973,6,3909028350
87,2973,6,3909061181
88,2973,6,3909094550
89,2973,6,3909233725
90,2973,6,3909288117
91,2973,6,3909291503
92,2973,6,3909294772
93,2973,6,3909297947
94,2973,6,3909468516
95,2973,6,3909566224
96,2973,6,3909569985
97,2973,6,3909573427
98,2973,6,3909577042
99,2973,6,3909580717
100,2973,6,3909584381
101,2973,6,3909588306
102,2973,6,3909705029
103,2973,6,3909708445
104,2973,6,3909711672
105,2973,6,3909714924
106,2973,6,3909728180
107,2973,6,3909760939
108,2973,6,3909795313
109,2973,6,3909828636
110,2973,6,3909861551
111,2973,6,3909894914
112,2973,6,3909928178
113,2973,6,3909961285
114,2973,6,3909994759
115,2973,6,3910055033
116,2973,6,3910061551
117,2973,6,3910095124
118,2973,6,3910127992
119,2973,6,3910161303
120,2973,6,3910195657
121,2973,6,3910228144
122,2973,6,3910261591
123,2973,6,3910294509
124,2973,6,3910328528
125,2973,6,3910362292
126,2973,6,3910395493
127,2973,6,3910428596
128,2973,6,3910461878
129,2973,6,3910494709
130,2973,6,3910528022
131,2973,6,3910561011
132,2973,6,3910595929
133,2973,6,3910628388
134,2973,6,3910661463
135,2973,6,3910695392
136,2995,6,3910763623
137,2995,6,3910767053
138,2995,6,3910795413
139,2995,6,3910828527
140,2995,6,3910861474
141,2995,6,3910895253
142,2995,6,3910928017
143,2995,6,3910961281
144,2995,6,3910994616
145,2995,6,3911028502
146,2995,6,3911061643
147,2995,6,3911094655
148,2995,6,3911129404
149,2995,6,3911162188
150,2995,6,3911195233
151,2995,6,3911228185
152,2995,6,3911261617
153,2995,6,3911294650
154,2995,6,3911327882
155,2995,6,3911398997
