frame_seq,target_bitrate_kbps,rtt_ms,timestamp_us
0,283,0,4361703415
1,283,0,4361726161
2,713,0,4361758163
3,713,0,4361793091
4,1650,0,4361826153
5,3206,0,4361891965
6,3206,0,4361958209
7,3206,0,4362024561
8,3206,0,4362091646
9,3206,0,4362126444
10,3206,0,4362158814
11,3206,0,4362191772
12,3206,0,4362225424
13,3206,0,4362258367
14,3206,0,4362292761
15,3206,0,4362326347
16,3206,0,4362359327
17,3206,0,4362393695
18,3206,0,4362425387
19,3206,0,4362458332
20,3206,0,4362492189
21,3206,0,4362524899
22,3206,0,4362559304
23,3206,0,4362593832
24,3206,0,4362625771
25,3206,0,4362659378
26,3206,0,4362694013
27,3206,0,4362727077
28,3251,4,4362759233
29,3251,4,4362792330
30,3251,4,4362825096
31,3251,4,4362859031
32,3251,4,4362892894
33,3251,4,4362925736
34,3251,4,4362958149
35,3251,4,4362993040
36,3251,4,4363027025
37,3251,4,4363059424
38,3251,4,4363092916
39,3251,4,4363126864
40,3251,4,4363158589
41,3251,4,4363193035
42,3251,4,4363227749
43,3251,4,4363259580
44,3251,4,4363292193
45,3251,4,4363325115
46,3251,4,4363358855
47,3251,4,4363391901
48,3249,1,4363426339
49,3249,1,4363459294
50,3249,1,4363492893
51,3249,1,4363525417
52,3249,1,4363558796
53,3249,1,4363593253
54,3249,1,4363626215
55,3249,1,4363659227
56,3249,1,4363692655
57,3249,1,4363726349
58,3249,1,4363759098
59,3249,1,4363792754
60,3249,1,4363825753
61,3249,1,4363858764
62,3249,1,4363892577
63,3249,1,4363925734
64,3249,1,4363959484
65,3249,1,4363993092
66,3249,1,4364025599
67,3249,1,4364059034
68,3249,1,4364091993
69,3248,3,4364126507
70,3248,3,4364159922
71,3248,3,4364192650
72,3248,3,4364225463
73,3248,3,4364259729
74,3248,3,4364292342
75,3248,3,4364325810
76,3248,3,4364360237
77,3248,3,4364392448
78,3248,3,4364425934
79,3248,3,4364458919
80,3248,3,4364491608
81,3248,3,4364525820
82,3248,3,4364558406
83,3248,3,4364592174
84,3248,3,4364626347
85,3248,3,4364659001
86,3248,3,4364692167
87,3248,3,4364725107
88,3248,3,4364758891
89,3248,3,4364792528
90,3248,3,4364826444
91,3248,3,4364859573
92,3248,3,4364892431
93,3248,3,4364924982
94,3248,3,4364959830
95,3248,3,4364992299
96,3248,3,4365026885
97,3247,5,4365058684
98,3247,5,4365092547
99,3247,5,4365126049
100,3247,5,4365158910
101,3247,5,4365192856
102,3247,5,4365225602
103,3247,5,4365258400
104,3247,5,4365292250
105,3247,5,4365325851
106,3247,5,4365360105
107,3247,5,4365392082
108,3247,5,4365426815
109,3247,5,4365459141
110,3247,5,4365492519
111,3247,5,4365526287
112,3247,5,4365559662
113,3247,5,4365592455
114,3247,5,4365625399
115,3247,5,4365658903
116,3247,5,4365692561
117,3247,5,4365725182
118,3247,5,4365758862
119,3247,5,4365791671
120,3247,5,4365825006
121,3247,5,4365858067
122,3247,5,4365892037
123,3247,5,4365926286
124,3247,5,4365959200
125,3247,5,4365992029
126,3247,5,4366027085
127,3247,5,4366058584
128,3247,5,4366092858
129,3247,5,4366125721
