frame_seq,target_bitrate_kbps,rtt_ms,timestamp_us
0,283,0,4186450749
1,283,0,4186476908
2,283,0,4186508954
3,829,0,4186542604
4,1699,0,4186609224
5,1702,0,4186709665
6,1702,0,4186801521
7,1702,0,4186808712
8,1702,0,4186842488
9,1702,0,4186902520
10,1702,0,4186932359
11,1702,0,4186941666
12,1702,0,4186974840
13,1702,0,4187008777
14,1702,0,4187041966
15,1702,0,4187075150
16,1702,0,4187108688
17,1702,0,4187141667
18,1702,0,4187175266
19,1702,0,4187208375
20,1702,0,4187241562
21,1702,0,4187333618
22,1702,0,4187337517
23,1702,0,4187397711
24,1702,0,4187401427
25,1702,0,4187409531
26,1702,0,4187442133
27,1726,6,4187475209
28,1726,6,4187508490
29,1726,6,4187541660
30,1726,6,4187575360
31,1726,6,4187609217
32,1726,6,4187642480
33,1726,6,4187675678
34,1726,6,4187709103
35,1726,6,4187742694
36,1726,6,4187775374
37,1726,6,4187808331
38,1726,6,4187842846
39,1726,6,4187875850
40,1732,6,4187909067
41,1732,6,4187942480
42,1732,6,4187975611
43,1732,6,4188009298
44,1732,6,4188080724
45,1732,6,4188256706
46,1761,6,4188317633
47,1761,6,4188374097
48,1761,6,4188378190
49,1761,6,4188382821
50,1761,6,4188409130
51,1761,6,4188442467
52,1761,6,4188475620
53,1761,6,4188509185
54,1761,6,4188542342
55,1761,6,4188575534
56,1761,6,4188608645
57,1761,6,4188641908
58,1761,6,4188675113
59,1761,6,4188708759
60,1761,6,4188741866
61,1761,6,4188775229
62,1761,6,4188808696
63,1761,6,4188841895
64,1761,6,4188874947
65,1761,6,4188943151
66,1761,6,4189060267
67,1761,6,4189240539
68,1761,6,4189305412
69,1761,6,4189309479
70,1761,6,4189314571
71,1761,6,4189318770
72,1761,6,4189322312
73,1761,6,4189342113
74,1761,6,4189375400
75,1761,6,4189409155
76,1761,6,4189442441
77,1761,6,4189476093
78,1761,6,4189508538
79,1761,6,4189542359
80,1761,6,4189575489
81,1761,6,4189608888
82,1761,6,4189642447
83,1761,6,4189675778
84,1761,6,4189708988
85,1761,6,4189742279
86,1761,6,4189775459
87,1761,6,4189808989
88,1761,6,4189842339
89,1761,6,4189875812
90,1761,6,4189908772
91,1761,6,4189942304
92,1761,6,4189975526
93,1760,9,4190008832
94,1760,9,4190041832
95,1760,9,4190074636
96,1760,9,4190109197
97,1780,9,4190142253
98,1780,9,4190175181
99,1780,9,4190208486
100,1780,9,4190242048
101,1780,9,4190275398
102,1780,9,4190309531
103,1780,9,4190342060
104,1780,9,4190375247
105,1780,9,4190409997
106,1822,9,4190442397
107,1822,9,4190475625
108,1822,9,4190508984
109,1822,9,4190542364
110,1822,9,4190576026
111,1822,9,4190608382
112,1822,9,4190641950
113,1822,9,4190675772
114,1859,9,4190710091
115,1859,9,4190743323
116,1859,9,4190775726
117,1859,9,4190808680
118,1859,9,4190842582
119,1859,9,4190876048
120,1859,9,4190908389
121,1859,9,4190941767
122,1896,9,4190974913
123,1896,9,4191009363
124,1896,9,4191043670
125,1896,9,4191076657
126,1896,9,4191109388
127,1896,9,4191142395
128,1896,9,4191175565
129,1896,9,4191209630
130,1896,9,4191242163
131,1941,9,4191275408
132,1941,9,4191309339
133,1941,9,4191341971
134,1941,9,4191375844
135,1941,9,4191409274
136,1941,6,4191443305
137,1941,6,4191476328
138,1941,6,4191509929
139,1981,6,4191542900
140,1981,6,4191576224
141,1981,6,4191609329
142,1981,6,4191642874
143,1981,6,4191675387
144,1981,6,4191708644
145,1981,6,4191741866
146,1981,6,4191775208
147,1981,6,4191808429
148,2029,6,4191841937
149,2029,6,4191875024
150,2029,6,4191909426
151,2029,6,4191943083
152,2029,6,4191975113
153,2029,6,4192008810
154,2029,5,4192043798
155,2029,5,4192075960
156,2029,5,4192108550
157,2078,5,4192141910
158,2078,5,4192174992
159,2078,5,4192208724
160,2078,5,4192242705
161,2078,5,4192274996
162,2078,5,4192308370
163,2078,5,4192341694
164,2078,5,4192375187
165,2120,5,4192408832
166,2120,5,4192441646
167,2120,5,4192475263
168,2120,5,4192509073
169,2120,5,4192542074
170,2120,5,4192575824
171,2120,5,4192609086
172,2120,5,4192643778
173,2165,5,4192678978
174,2165,5,4192708796
175,2165,5,4192742462
176,2165,5,4192775562
177,2164,6,4192809306
178,2164,6,4192842627
179,2164,6,4192875826
180,2164,6,4192909425
181,2164,6,4192943536
182,2217,6,4192975461
183,2217,6,4193009071
184,2217,6,4193042358
185,2217,6,4193075773
186,2217,6,4193109207
187,2217,6,4193142349
188,2217,6,4193175645
189,2217,6,4193209423
190,2260,6,4193242755
191,2260,6,4193276115
192,2260,6,4193309411
193,2260,6,4193342604
194,2260,6,4193375259
195,2260,6,4193408807
196,2260,6,4193441911
197,2260,6,4193475639
198,2260,6,4193509363
199,2315,6,4193541901
200,2315,5,4193575771
201,2315,5,4193609046
202,2315,5,4193642452
203,2315,5,4193675682
204,2315,5,4193708909
205,2315,5,4193743825
206,2315,5,4193776322
207,2362,5,4193809182
208,2362,5,4193841554
209,2362,5,4193876158
210,2362,5,4193909687
211,2362,5,4193942792
212,2362,5,4193975958
213,2362,5,4194009311
214,2362,5,4194042110
215,2409,5,4194075707
216,2409,5,4194109043
217,2409,5,4194142263
218,2409,5,4194175628
219,2409,5,4194209089
220,2409,5,4194242237
221,2409,5,4194275578
222,2409,5,4194308711
223,2409,5,4194342083
224,2469,5,4194376139
225,2469,5,4194408977
226,2469,5,4194442449
227,2469,5,4194475313
228,2469,5,4194508683
229,2469,6,4194542738
230,2469,6,4194575734
231,2469,6,4194609469
232,2518,6,4194642362
233,2518,6,4194674939
234,2518,6,4194707966
235,2518,6,4194741498
236,2518,6,4194776095
237,2518,6,4194809390
238,2518,6,4194842553
239,2518,6,4194875465
240,2518,6,4194909021
241,2578,6,4194942459
242,2578,6,4194976028
243,2578,6,4195009029
244,2578,6,4195042877
245,2578,6,4195076304
246,2578,6,4195108773
247,2578,6,4195142911
248,2578,6,4195175955
249,2579,6,4195209257
250,2579,6,4195243281
251,2579,6,4195275683
252,2579,6,4195309358
253,2579,6,4195342924
254,2579,6,4195375611
255,2579,6,4195408704
256,2579,6,4195442347
257,2613,6,4195475231
258,2613,6,4195508859
259,2613,6,4195542766
260,2613,6,4195575203
261,2613,6,4195609046
262,2613,6,4195642431
263,2613,6,4195675825
264,2613,6,4195709131
265,2613,6,4195742361
266,2643,6,4195776245
267,2643,6,4195809398
268,2643,6,4195841919
269,2643,6,4195875476
270,2643,6,4195908961
271,2643,6,4195942897
272,2643,6,4195976307
273,2643,6,4196008852
274,2674,6,4196042643
275,2674,10,4196075808
276,2674,10,4196109505
277,2674,10,4196142729
278,2674,10,4196176120
279,2674,10,4196209082
280,2674,10,4196242214
281,2674,10,4196274330
282,2674,10,4196307634
283,2697,10,4196341294
284,2697,10,4196374778
285,2697,10,4196408099
286,2697,10,4196441407
287,2697,10,4196474713
288,2697,10,4196508003
289,2697,10,4196541380
290,2697,10,4196574691
291,2697,10,4196608105
292,2697,10,4196641625
293,2697,10,4196675264
294,2697,10,4196708519
295,2697,10,4196741837
296,2697,10,4196775061
297,2697,10,4196808133
298,2697,10,4196841721
299,2720,10,4196875039
300,2720,10,4196908365
301,2720,10,4196941673
302,2720,10,4196975005
303,2720,6,4197008299
304,2720,6,4197041766
305,2720,6,4197074933
306,2720,6,4197108162
307,2720,6,4197141614
308,2720,6,4197175639
309,2720,6,4197208914
310,2720,6,4197240905
311,2720,6,4197274275
312,2720,6,4197307910
313,2720,6,4197340922
314,2720,6,4197374734
315,2720,6,4197407916
316,2720,6,4197441296
317,2720,6,4197474278
318,2720,6,4197507733
319,2720,6,4197541233
320,2720,6,4197574261
321,2720,6,4197607615
322,2720,6,4197642432
323,2720,6,4197674836
324,2720,6,4197708277
325,2753,6,4197741735
326,2753,6,4197774756
327,2753,6,4197808077
328,2753,6,4197841467
329,2753,6,4197875020
330,2753,6,4197908623
331,2753,6,4197941162
332,2753,6,4197974222
333,2753,6,4198007575
334,2753,6,4198040557
335,2753,6,4198074939
336,2753,6,4198107908
337,2753,6,4198141333
338,2753,6,4198175332
339,2753,4,4198208030
340,2753,4,4198241180
341,2753,4,4198274345
342,2764,4,4198307646
343,2764,4,4198341581
344,2764,4,4198374268
345,2764,4,4198407459
346,2764,4,4198440860
347,2764,4,4198475087
